pid,direction,order,baseline_spm,tempo_end_spm,pct_change,target_pct,correct_direction
01,slowing down,weight first,137.3,124.0,-9.7,-8.0,True
03,speeding up,tempo first,130.4,130.2,-0.17,8.0,False
05,speeding up,weight first,101.5,102.3,0.8,8.0,True
06,speeding up,weight first,145.9,135.9,-6.86,8.0,False
07,slowing down,weight first,147.1,150.1,2.04,-8.0,False
09,slowing down,tempo first,169.4,164.6,-2.83,-8.0,True
10,slowing down,tempo first,136.2,119.6,-12.18,-8.0,True
11,speeding up,weight first,123.2,113.1,-8.17,8.0,False
13,speeding up,tempo first,98.5,111.5,13.18,8.0,True
16,slowing down,weight first,86.2,97.2,12.73,-8.0,False
18,speeding up,tempo first,164.4,160.4,-2.42,8.0,False
19,speeding up,weight first,132.3,124.3,-6.03,8.0,False
30,speeding up,tempo first,110.1,78.9,-28.37,8.0,False
31,slowing down,weight first,221.8,214.5,-3.32,-8.0,True
32,slowing down,weight first,107.9,121.5,12.6,-8.0,False
33,speeding up,weight first,162.7,146.9,-9.75,8.0,False
34,speeding up,weight first,100.1,100.8,0.63,8.0,True
35,slowing down,tempo first,131.0,122.9,-6.2,-8.0,True
36,speeding up,tempo first,106.7,124.9,17.1,8.0,True
37,speeding up,weight first,186.6,192.5,3.18,8.0,True
38,slowing down,tempo first,148.0,133.9,-9.54,-8.0,True
39,speeding up,weight first,161.6,160.2,-0.88,8.0,False
40,speeding up,weight first,115.9,123.1,6.16,8.0,True
